PURCHASE_NUM,ACCOUNT_NUM,DATE,AMOUNT
59786,50012345,11/2/2017,5
59787,50012346,11/2/2017,9
59788,50012347,11/2/2017,8.76
59789,50012345,11/2/2017,5.54
59790,50012345,11/2/2017,3.29
59791,50012348,11/7/2017,3.29
59792,50012349,11/8/2017,8.77
59793,50012350,11/9/2017,9.99
59794,50012346,11/9/2017,10.25
59795,50012347,11/9/2017,14.78
59796,50012348,11/12/2017,3.56
59797,50012347,11/13/2017,11.39
59798,50012349,11/13/2017,1.14
59799,50012348,11/15/2017,8.56
59800,50012346,11/23/2017,11.43
59801,50012346,11/23/2017,7.51
59802,50012349,11/23/2017,8.2
59803,50012348,11/23/2017,11.31
59804,50012350,11/23/2017,13.06
